Tile,class,x,y
D0339,2,303500,439500
D0439,2,304500,439500
D0539,2,305500,439500
D0639,1,306500,439500
D0739,1,307500,439500
D0839,2,308500,439500
D0939,2,309500,439500
D1039,4,310500,439500
D1139,4,311500,439500
D1239,6,312500,439500
D1339,3,313500,439500
D1439,2,314500,439500
D1539,4,315500,439500
D1639,4,316500,439500
D1739,4,317500,439500
D1839,4,318500,439500
D1939,1,319500,439500
D2039,2,320500,439500
D2139,2,321500,439500
D2239,2,322500,439500
D2339,5,323500,439500
D2439,1,324500,439500
C6538,1,265500,438500
C6638,1,266500,438500
C6738,1,267500,438500
C6838,1,268500,438500
C8138,1,281500,438500
C8238,1,282500,438500
C8338,1,283500,438500
C8438,1,284500,438500
C8538,1,285500,438500
C8638,1,286500,438500
C8738,1,287500,438500
C8838,1,288500,438500
C8938,1,289500,438500
C9038,1,290500,438500
C9138,1,291500,438500
C9238,1,292500,438500
C9338,1,293500,438500
C9438,1,294500,438500
C9538,1,295500,438500
C9638,1,296500,438500
C9738,1,297500,438500
C9838,1,298500,438500
C9938,1,299500,438500
D0038,1,300500,438500
D0138,1,301500,438500
D0238,2,302500,438500
D0338,2,303500,438500
D0438,2,304500,438500
D0538,1,305500,438500
D0638,1,306500,438500
D0738,1,307500,438500
D0838,2,308500,438500
D0938,4,309500,438500
D1038,4,310500,438500
D1138,2,311500,438500
D1238,4,312500,438500
D1338,4,313500,438500
D1438,4,314500,438500
D1538,1,315500,438500
D1638,4,316500,438500
D1738,4,317500,438500
D1838,4,318500,438500
D1938,4,319500,438500
D2038,2,320500,438500
D2138,2,321500,438500
D2238,2,322500,438500
D2338,2,323500,438500
D2438,2,324500,438500
C6537,1,265500,437500
C6637,1,266500,437500
C6737,1,267500,437500
C6837,1,268500,437500
C6937,1,269500,437500
C8037,1,280500,437500
C8137,1,281500,437500
C8237,1,282500,437500
C8337,1,283500,437500
C8437,1,284500,437500
C8537,1,285500,437500
C8637,1,286500,437500
C8737,1,287500,437500
C8837,1,288500,437500
C8937,1,289500,437500
