fid,Tile,Class_max,Version,xcoord,ycoord,COUNTY_ID,CountyName,Area_SqKM,OBJECTID,,CountyName,Class_max,,
54,C3804,6,Radon_Atlas_NI_V1,238500,404500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
55,C3904,6,Radon_Atlas_NI_V1,239500,404500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
56,C4004,6,Radon_Atlas_NI_V1,240500,404500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
57,C4104,6,Radon_Atlas_NI_V1,241500,404500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
58,C4204,6,Radon_Atlas_NI_V1,242500,404500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
59,C4304,6,Radon_Atlas_NI_V1,243500,404500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
60,C4404,6,Radon_Atlas_NI_V1,244500,404500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
61,C4504,6,Radon_Atlas_NI_V1,245500,404500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
62,C4604,5,Radon_Atlas_NI_V1,246500,404500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
63,C4704,5,Radon_Atlas_NI_V1,247500,404500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
64,C4904,5,Radon_Atlas_NI_V1,249500,404500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
65,C3603,5,Radon_Atlas_NI_V1,236500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
66,C3703,5,Radon_Atlas_NI_V1,237500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
67,C3803,6,Radon_Atlas_NI_V1,238500,403500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
68,C3903,6,Radon_Atlas_NI_V1,239500,403500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
69,C4003,6,Radon_Atlas_NI_V1,240500,403500,6,TYRONE,3265.796622,1,,TYRONE,6.00,,
70,C4103,4,Radon_Atlas_NI_V1,241500,403500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
71,C4203,5,Radon_Atlas_NI_V1,242500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
72,C4303,5,Radon_Atlas_NI_V1,243500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
73,C4403,5,Radon_Atlas_NI_V1,244500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
74,C4503,5,Radon_Atlas_NI_V1,245500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
75,C4603,5,Radon_Atlas_NI_V1,246500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
76,C4703,5,Radon_Atlas_NI_V1,247500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
77,C4803,5,Radon_Atlas_NI_V1,248500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
78,C4903,5,Radon_Atlas_NI_V1,249500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
79,C5003,5,Radon_Atlas_NI_V1,250500,403500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
80,C3602,5,Radon_Atlas_NI_V1,236500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
81,C3702,5,Radon_Atlas_NI_V1,237500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
82,C3802,5,Radon_Atlas_NI_V1,238500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
83,C3902,5,Radon_Atlas_NI_V1,239500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
84,C4002,4,Radon_Atlas_NI_V1,240500,402500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
85,C4102,5,Radon_Atlas_NI_V1,241500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
86,C4202,5,Radon_Atlas_NI_V1,242500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
87,C4302,5,Radon_Atlas_NI_V1,243500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
88,C4402,5,Radon_Atlas_NI_V1,244500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
89,C4502,5,Radon_Atlas_NI_V1,245500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
90,C4602,5,Radon_Atlas_NI_V1,246500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
91,C4702,5,Radon_Atlas_NI_V1,247500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
92,C4802,5,Radon_Atlas_NI_V1,248500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
93,C4902,5,Radon_Atlas_NI_V1,249500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
94,C5002,5,Radon_Atlas_NI_V1,250500,402500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
95,C3501,4,Radon_Atlas_NI_V1,235500,401500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
96,C3601,4,Radon_Atlas_NI_V1,236500,401500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
97,C3701,5,Radon_Atlas_NI_V1,237500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
98,C3801,5,Radon_Atlas_NI_V1,238500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
99,C3901,5,Radon_Atlas_NI_V1,239500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
100,C4001,4,Radon_Atlas_NI_V1,240500,401500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
101,C4101,5,Radon_Atlas_NI_V1,241500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
102,C4201,5,Radon_Atlas_NI_V1,242500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
103,C4301,5,Radon_Atlas_NI_V1,243500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
104,C4401,5,Radon_Atlas_NI_V1,244500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
105,C4501,5,Radon_Atlas_NI_V1,245500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
106,C4601,5,Radon_Atlas_NI_V1,246500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
107,C4701,5,Radon_Atlas_NI_V1,247500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
108,C4801,5,Radon_Atlas_NI_V1,248500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
109,C4901,5,Radon_Atlas_NI_V1,249500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
110,C5001,5,Radon_Atlas_NI_V1,250500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
111,C5101,5,Radon_Atlas_NI_V1,251500,401500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
112,C3500,5,Radon_Atlas_NI_V1,235500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
113,C3600,5,Radon_Atlas_NI_V1,236500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
114,C3700,5,Radon_Atlas_NI_V1,237500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
115,C3800,5,Radon_Atlas_NI_V1,238500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
116,C3900,4,Radon_Atlas_NI_V1,239500,400500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
117,C4000,4,Radon_Atlas_NI_V1,240500,400500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
118,C4100,5,Radon_Atlas_NI_V1,241500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
119,C4200,5,Radon_Atlas_NI_V1,242500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
120,C4300,5,Radon_Atlas_NI_V1,243500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
121,C4400,5,Radon_Atlas_NI_V1,244500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
122,C4500,5,Radon_Atlas_NI_V1,245500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
123,C4600,5,Radon_Atlas_NI_V1,246500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
124,C4700,5,Radon_Atlas_NI_V1,247500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
125,C4800,5,Radon_Atlas_NI_V1,248500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
126,C4900,5,Radon_Atlas_NI_V1,249500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
127,C5000,5,Radon_Atlas_NI_V1,250500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
128,C5100,5,Radon_Atlas_NI_V1,251500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
129,C5200,5,Radon_Atlas_NI_V1,252500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
130,C5300,5,Radon_Atlas_NI_V1,253500,400500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
131,H3499,5,Radon_Atlas_NI_V1,234500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
132,H3599,5,Radon_Atlas_NI_V1,235500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
133,H3699,5,Radon_Atlas_NI_V1,236500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
134,H3799,5,Radon_Atlas_NI_V1,237500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
135,H3899,4,Radon_Atlas_NI_V1,238500,399500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
136,H3999,4,Radon_Atlas_NI_V1,239500,399500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
137,H4099,4,Radon_Atlas_NI_V1,240500,399500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
138,H4199,5,Radon_Atlas_NI_V1,241500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
139,H4299,5,Radon_Atlas_NI_V1,242500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
140,H4399,5,Radon_Atlas_NI_V1,243500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
141,H4499,5,Radon_Atlas_NI_V1,244500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
142,H4599,5,Radon_Atlas_NI_V1,245500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
143,H4699,5,Radon_Atlas_NI_V1,246500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
144,H4799,5,Radon_Atlas_NI_V1,247500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
145,H4899,5,Radon_Atlas_NI_V1,248500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
146,H4999,5,Radon_Atlas_NI_V1,249500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
147,H5099,5,Radon_Atlas_NI_V1,250500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
148,H5199,5,Radon_Atlas_NI_V1,251500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
149,H5299,4,Radon_Atlas_NI_V1,252500,399500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
150,H5399,5,Radon_Atlas_NI_V1,253500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
